Species,Site,Habitat,N_c,N_0,N_0_d,ER,MaxN,MeanCount,D (95% C.I.),D,LCI,UCI,g(d)
LCC,JY,A,3,78,41,0.34,0.65,3.33,"988 (773, 1598)",988,772.7993933,1598.372713,hr
LCC,MO,A,4,157,102,0.64,0.98,4.25,"3117 (2277, 4722)",3117,2276.545869,4722.243985,hr
LCC,MO,S,3,28,15,0.13,0.23,2.00,"2379 (615, 7439)",2379,615.0411621,7439.296578,hr
LCC,SSI,S,4,0,0,-,0,0,0,0,,,-
LCC,SSI,C,3,73,25,0.21,0.61,3.33,"937 (523, 1610)",937,522.6770349,1609.616884,hr
LCC,NO,M,5,28,0,-,0.14,1.00,0,0,,,-
NSM,JY,A,3,0,0,-,0,0,0,0,,,-
NSM,MO,A,4,43,38,0.24,0.27,2.00,"807 (263, 1264)",807,262.5681447,1264.111036,hr
NSM,MO,S,3,60,23,0.19,0.50,2.67,"2029 (201, 10869)",2029,200.6268911,10868.86299,hr
NSM,SSI,S,4,24,5,0.03,0.15,1.50,"154 (0, 3361)",154,0,3361.278697,hr
NSM,SSI,C,3,0,0,-,0,0,0,0,,,-
NSM,NO,M,5,1,0,-,0.01,0.20,0,0,,,-
PDS,JY,A,3,10,9,0.08,0.08,0.33,"210 (0, 698)",210,0,697.7269356,hr
PDS,MO,A,4,177,152,0.95,1.11,3.50,"2229 (981, 6545)",2229,981.3271849,6545.276445,hr
PDS,MO,S,3,0,0,-,0,0,0,0,,,-
PDS,SSI,S,4,3,0,-,0.02,0.25,0,0,,,-
PDS,SSI,C,3,29,22,0.18,0.24,2.00,"1564 (152, 7104)",1564,151.5136961,7103.781861,hr
PDS,NO,M,5,0,0,-,0,0,0,0,-,-,-
